Category	Type	Alias	Name	Args	Args Transform	Description	Link
Clock	Modify	adjust_time	adjtimex			Tunes the kernel clock.	https://man7.org/linux/man-pages/man2/adjtimex.2.html
Clock	Modify	adjust_time	clock_adjtime			Tunes the kernel clock.	https://man7.org/linux/man-pages/man2/clock_adjtime.2.html
Clock	Modify	adjust_time	ntp_adjtime			Tunes the kernel clock.	https://man7.org/linux/man-pages/man2/adjtimex.2.html
Clock	Read	clock_get_resolution	clock_getres			Finds the resolution (precision) of the specified clock.	https://man7.org/linux/man-pages/man2/clock_getres.2.html
Clock	Read	clock_get_time	clock_gettime			Gets the time of the specified clock.	https://man7.org/linux/man-pages/man2/clock_gettime.2.html
Clock	Modify	clock_set_time	clock_settime			Sets the time of the specified clock.	https://man7.org/linux/man-pages/man2/clock_settime.2.html
Clock	Read	get_time_of_day	gettimeofday			Gets the system time and a timezone.	https://man7.org/linux/man-pages/man2/gettimeofday.2.html
Clock	Modify	set_time_of_day	settimeofday			Sets the system time and a timezone.	https://man7.org/linux/man-pages/man2/settimeofday.2.html
Clock	Read	time	time			Gets seconds since the Epoch.	https://man7.org/linux/man-pages/man2/time.2.html
Credentials	Read	get_TID	gettid			Gets the caller's thread ID (TID).	https://man7.org/linux/man-pages/man2/gettid.2.html
Credentials	Read	get_PID	getpid			Gets the process ID (PID)	https://man7.org/linux/man-pages/man2/getpid.2.html
Credentials	Read	get_PPID	getppid			Gets the process ID of the parent of the calling process.	https://man7.org/linux/man-pages/man2/getppid.2.html
Credentials	Read	get_SID	getsid			Gets the session ID of the process with the given process ID.	https://man7.org/linux/man-pages/man2/getsid.2.html
Credentials	Create	set_SID	setsid			Creates a new session if the calling process is not a process group leader.	https://man7.org/linux/man-pages/man2/setsid.2.html
Credentials	Read	get_GID	getgid			Gets the real group ID of the calling process.	https://man7.org/linux/man-pages/man2/getgid.2.html
Credentials	Modify	set_GID	setgid			Sets the effective group ID of the calling process.	https://man7.org/linux/man-pages/man2/setgid.2.html
Credentials	Read	get_EGID	getegid			Gets the effective group ID (EGID) of the calling process.	https://man7.org/linux/man-pages/man2/getegid.2.html
Credentials	Modify	set_EGID	setegid			Sets the effective group ID (EGID) of the calling process.	https://man7.org/linux/man-pages/man2/setegid.2.html
Credentials	Read	get_PGID	getpgid			Gets the process group ID (PGID) of the process by its ID.	https://man7.org/linux/man-pages/man2/getpgid.2.html
Credentials	Modify	set_PGID	setpgid			Sets the process group ID (PGID) of the process by its ID.	https://man7.org/linux/man-pages/man2/setpgid.2.html
Credentials	Read	get_p_group	getpgrp			Gets the process group ID (PGID) of the calling proccess.	https://man7.org/linux/man-pages/man2/getpgrp.2.html
Credentials	Modify	set_p_group	setpgrp			Sets the process group ID (PGID) of the calling proccess.	https://man7.org/linux/man-pages/man2/setpgrp.2.html
Credentials	Read	get_groups	getgroups			Gets the supplementary group IDs of the calling process.	https://man7.org/linux/man-pages/man2/getgroups.2.html
Credentials	Modify	set_groups	setgroups			Sets the supplementary group IDs for the calling process.	https://man7.org/linux/man-pages/man2/setgroups.2.html
Credentials	Read	get_r_e_s_GID	getresgid			"Gets the real user ID (RUID), the effective user ID (EUID), and the saved set-user-ID (SUID) of the calling process."	https://man7.org/linux/man-pages/man2/getresgid.2.html
Credentials	Modify	set_r_e_s_GID	setresgid			"Sets the real user ID (RUID), the effective user ID (EUID), and the saved set-user-ID (SUID) of the calling process."	https://man7.org/linux/man-pages/man2/setresgid.2.html
Credentials	Modify	set_fs_GID	setfsgid			Sets the group identity used for filesystem checks.	https://man7.org/linux/man-pages/man2/setfsgid.2.html
Credentials	Modify	set_fs_UID	setfsuid			Sets the user identity used for filesystem checks.	https://man7.org/linux/man-pages/man2/setfsuid.2.html
Credentials	Modify	set_r_e_GID	setregid			Sets real and effective group ID's of the calling process.	https://man7.org/linux/man-pages/man2/setregid.2.html
Credentials	Modify	set_r_e_UID	setreuid	ruid;euid		Sets real and effective user IDs of the calling process.	https://man7.org/linux/man-pages/man2/setreuid.2.html
Credentials	Read	get_UID	getuid			Gets the real user ID of the calling process.	https://man7.org/linux/man-pages/man2/getuid.2.html
Credentials	Modify	set_UID	setuid	uid		Sets the effective user ID of the calling process.	https://man7.org/linux/man-pages/man2/setuid.2.html
Credentials	Read	get_EUID	geteuid			Gets the effective user ID (EUID) of the calling process.	https://man7.org/linux/man-pages/man2/geteuid.2.html
Credentials	Modify	set_EUID	seteuid	euid		Sets the effective user ID (EUID) of the calling process.	https://man7.org/linux/man-pages/man2/seteuid.2.html
Credentials	Read	get_r_e_s_UID	getresuid			"Gets the real UID, the effective UID, and the saved set-user-ID of the calling process."	https://man7.org/linux/man-pages/man2/getresuid.2.html
